"","Optimist","Pessimist","Altruist","Naive","Nash","k1","k2","d1","d2"
"1",2,2,2,2,3,3,3,3,3
"2",2,2,2,2,3,3,3,1,1
"3",1,1,1,1,2,2,2,2,2
"4",3,3,1,3,2,2,2,2,2
"5",2,2,2,2,1,1,1,1,1
"6",1,1,1,1,2,2,2,2,2
"7",3,3,3,3,1,1,1,2,2
"8",1,3,1,3,2,2,2,2,2
"9",3,3,3,3,2,2,2,2,2
"10",2,2,2,2,1,1,1,1,1
"11",3,3,3,3,1,1,1,2,2
"12",3,3,3,3,2,2,2,2,2
"13",2,1,1,2,3,3,3,3,3
"14",3,3,3,3,2,2,2,2,2
"15",3,3,3,3,2,2,2,2,2
"16",2,2,2,2,3,3,3,1,1
"17",3,3,3,3,1,1,1,1,1
"18",1,3,1,1,2,2,2,2,2
"19",1,1,1,1,3,3,3,3,3
"20",1,1,1,1,2,2,2,2,2
